Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total,GDP,Population,Gdp per capita gdp/pop
USA,39,41,33,113,1,23.31508056,336997632.0,6.91847E-08
China,38,32,18,88,2,17.820459342451200,1425893504.0,1.24977E-08
Russia,20,28,23,71,3,1.83689207554752,145102752.0,1.26592504292925E-08
UK,22,21,22,65,4,3.12248034592454,67281040.0,4.6409513674648E-08
Japan,27,14,17,58,5,5.00553673679229,124612528.0,4.01688082019513E-08
Australia,17,7,22,46,6,1.55270315161601,25921094.0,5.99011427378802E-08
Italy,10,10,20,40,7,2.1143557569139200,59240336.0,3.56911506530604E-08
Germany,10,11,16,37,8,4.25993491182164,83408560.0,5.10731142201908E-08
Netherlands,10,12,14,36,9,1.011798853062,17501696.0,5.78115E-08
France,10,12,11,33,10,2.95787975926352,64531448.0,4.58362527253924E-08
Canada,7,6,11,24,11,2.00148674542392,38155012.0,5.24567190654774E-08
Brazil,7,6,8,21,12,1.64962297215935,214326224.0,7.69678549536407E-09
New Zealand,7,6,7,20,13,0.255551704625831,5129730.0,4.98177690883986E-08
South Korea,6,4,10,20,13,1.81095587138098,51830136.0,3.49402106793812E-08
Hungary,6,7,7,20,13,0.18227544403179,9709784.0,1.87723479772351E-08
Ukraine,1,6,12,19,16,0.199765856764501,43531424.0,4.5890034923852E-09
Spain,3,8,6,17,17,1.42738068129455,47486932.0,3.00583891436606E-08
Cuba,7,3,5,15,18,0.107352,11256373.0,9.537E-09
Poland,4,5,5,14,19,0.679441900610663,38307724.0,1.77364204829988E-08
Switzerland,3,4,6,13,20,0.80064015538726,8691409.0,9.21185685068163E-08
Turkey,2,2,9,13,20,0.8190344843031690,84775408.0,9.66122727835375E-09
Taiwan,2,4,6,12,22,0.77479,23859904.0,3.24725E-08
Denmark,3,4,4,11,23,0.39830327276446000,5854246.0,6.80366477193579E-08
Czechia,4,4,3,11,23,0.2817912185071,10510748.0,2.68098E-08
Kenya,4,4,2,10,25,0.10970365931287200,53005616.0,2.06966105842204E-09
Sweden,3,6,0,9,26,0.636856236396239,10467095.0,6.08436472962402E-08
Serbia,3,1,5,9,26,0.0630820212059295,7296771.0,8.64519678717196E-09
Jamaica,4,1,4,9,26,0.0146575863593802,2827701.0,5.18357010142876E-09
Norway,4,2,2,8,29,0.49029336437718300,5403021.0,9.07443010821507E-08
Croatia,3,3,2,8,29,0.0688436746412112,4060139.0,1.69559895957284E-08
Kazakhstan,0,0,8,8,29,0.197112255360612,19196468.0,1.02681522121992E-08
Georgia,2,5,1,8,29,0.018629365612096,3757984.0,4.95727645782845E-09
Austria,1,1,5,7,33,0.480368403893364,8922086.0,5.38403691573208E-08
Belgium,3,1,3,7,33,0.5943519616344870,11611416.0,5.11868631383534E-08
Belarus,1,3,3,7,33,0.06967374713187,9578172.0,7.27422175461769E-09
Azerbaijan,0,3,4,7,33,0.0548254117647059,10312992.0,5.31614993638179E-09
Iran,3,2,2,7,33,0.359096907772985,87923432.0,4.08420030479457E-09
India,1,2,4,7,33,3.15030683427965,1407563904.0,2.23812704014869E-09
Hong Kong,1,2,3,6,39,0.36891138784541800,7494580.0,4.92237574147475E-08
Bulgaria,3,1,2,6,39,0.08406139565822100,6885864.0,1.22078210749183E-08
Egypt,1,1,4,6,39,0.42467176545570400,109262184.0,3.88672228495546E-09
Slovenia,3,1,1,5,42,0.0617485865348672,2119408.0,2.91348275248877E-08
Dominican Republic,0,3,2,5,42,0.0942434264870833,11117873.0,8.4767496882797E-09
Colombia,0,4,1,5,42,0.318511813576972,51516560.0,6.18270733870763E-09
Indonesia,1,1,3,5,42,1.1865054557208100,273753184.0,4.33421609343112E-09
